matchId,tier_scraped_from,rank_scraped_from,did_meta_team_win
NA1_5356151620,GOLD,GOLD IV,False
NA1_5356154655,BRONZE,BRONZE II,False
NA1_5356155459,GOLD,GOLD IV,False
NA1_5356157621,DIAMOND,DIAMOND II,True
NA1_5356158499,GOLD,GOLD III,True
NA1_5356165504,SILVER,SILVER III,True
NA1_5356170309,IRON,IRON III,True
NA1_5356178753,GOLD,GOLD IV,False
NA1_5356184775,SILVER,SILVER I,True
NA1_5356187366,GOLD,GOLD II,True
NA1_5356187453,IRON,IRON III,True
NA1_5356189512,SILVER,SILVER III,False
NA1_5356200034,SILVER,SILVER I,False
NA1_5356206862,GOLD,GOLD II,True
NA1_5356404754,EMERALD,EMERALD III,True
NA1_5356413535,GOLD,GOLD III,False
NA1_5356420089,EMERALD,EMERALD III,False
NA1_5356481287,EMERALD,EMERALD I,True
NA1_5356484220,PLATINUM,PLATINUM II,False
NA1_5356602475,PLATINUM,PLATINUM IV,True
NA1_5356613681,DIAMOND,DIAMOND II,True
NA1_5356615981,IRON,IRON IV,True
NA1_5356630680,IRON,IRON III,True
NA1_5356648566,EMERALD,EMERALD III,False
NA1_5356651516,SILVER,SILVER IV,True
NA1_5356670337,GOLD,GOLD III,False
NA1_5356690589,IRON,IRON I,False
NA1_5356691863,DIAMOND,DIAMOND II,False
NA1_5356713538,GOLD,GOLD III,False
NA1_5356722901,EMERALD,EMERALD I,False
NA1_5356727317,IRON,IRON IV,False
NA1_5356760125,GOLD,GOLD III,True
NA1_5356765755,IRON,IRON IV,False
NA1_5356803047,GOLD,GOLD IV,False
NA1_5356809799,GOLD,GOLD III,True
NA1_5356818107,DIAMOND,DIAMOND III,True
NA1_5356837274,SILVER,SILVER III,True
NA1_5356842523,GOLD,GOLD IV,True
NA1_5356842864,PLATINUM,PLATINUM IV,True
NA1_5356847455,BRONZE,BRONZE III,False
NA1_5356873652,BRONZE,BRONZE II,True
NA1_5356887345,PLATINUM,PLATINUM IV,True
NA1_5356893381,SILVER,SILVER IV,True
NA1_5356894433,IRON,IRON III,True
NA1_5356909152,DIAMOND,DIAMOND II,True
NA1_5356925886,BRONZE,BRONZE II,True
NA1_5356933413,DIAMOND,DIAMOND I,True
NA1_5356937876,PLATINUM,PLATINUM IV,False
NA1_5356962842,DIAMOND,DIAMOND I,True
NA1_5356970914,GOLD,GOLD IV,True
NA1_5356995624,DIAMOND,DIAMOND I,False
NA1_5357001155,GOLD,GOLD IV,False
NA1_5357008536,EMERALD,EMERALD I,True
NA1_5357017544,GOLD,GOLD IV,False
NA1_5357031039,GOLD,GOLD I,True
NA1_5357043430,GOLD,GOLD I,True
NA1_5357053988,GOLD,GOLD I,True
NA1_5357062886,GOLD,GOLD I,True
NA1_5357073087,GOLD,GOLD I,True
NA1_5357079339,SILVER,SILVER II,False
NA1_5357088954,SILVER,SILVER II,False
NA1_5357093318,SILVER,SILVER II,False
NA1_5357160525,PLATINUM,PLATINUM IV,True
NA1_5357178504,IRON,IRON III,False
NA1_5357180850,PLATINUM,PLATINUM IV,True
NA1_5357188709,DIAMOND,DIAMOND I,True
NA1_5357189061,IRON,IRON III,True
NA1_5357195159,SILVER,SILVER IV,True
NA1_5357199859,PLATINUM,PLATINUM IV,True
NA1_5357213899,PLATINUM,PLATINUM IV,True
NA1_5357226821,DIAMOND,DIAMOND I,False
NA1_5357243916,DIAMOND,DIAMOND I,False
NA1_5357276474,DIAMOND,DIAMOND II,True
NA1_5357302845,IRON,IRON I,False
NA1_5357318684,SILVER,SILVER III,True
NA1_5357325727,PLATINUM,PLATINUM III,False
NA1_5357337684,DIAMOND,DIAMOND II,True
NA1_5357364196,IRON,IRON IV,True
NA1_5357364231,IRON,IRON I,False
NA1_5357374573,GOLD,GOLD IV,True
NA1_5357378236,SILVER,SILVER III,True
NA1_5357378833,SILVER,SILVER II,False
NA1_5357384901,EMERALD,EMERALD I,True
NA1_5357387795,SILVER,SILVER II,True
NA1_5357388404,DIAMOND,DIAMOND III,False
NA1_5357397640,DIAMOND,DIAMOND II,True
NA1_5357398926,EMERALD,EMERALD IV,False
NA1_5357406549,EMERALD,EMERALD I,True
NA1_5357413344,DIAMOND,DIAMOND III,True
NA1_5357416391,SILVER,SILVER II,False
NA1_5357421886,PLATINUM,PLATINUM III,True
NA1_5357426496,DIAMOND,DIAMOND II,False
NA1_5357438263,PLATINUM,PLATINUM IV,False
NA1_5357438616,EMERALD,EMERALD I,True
NA1_5357438716,EMERALD,EMERALD I,True
NA1_5357448445,DIAMOND,DIAMOND III,True
NA1_5357453771,PLATINUM,PLATINUM III,True
NA1_5357454666,SILVER,SILVER II,True
NA1_5357463270,DIAMOND,DIAMOND IV,False
NA1_5357469199,PLATINUM,PLATINUM IV,True
NA1_5357469528,EMERALD,EMERALD III,True
NA1_5357475328,DIAMOND,DIAMOND III,True
NA1_5357476518,EMERALD,EMERALD I,False
NA1_5357479394,PLATINUM,PLATINUM III,True
NA1_5357479861,PLATINUM,PLATINUM III,True
NA1_5357482815,DIAMOND,DIAMOND II,True
NA1_5357491317,EMERALD,EMERALD IV,True
NA1_5357491477,DIAMOND,DIAMOND IV,False
NA1_5357496907,SILVER,SILVER II,True
NA1_5357508103,EMERALD,EMERALD III,True
NA1_5357521040,IRON,IRON IV,True
NA1_5357521086,EMERALD,EMERALD IV,False
NA1_5357522510,DIAMOND,DIAMOND II,True
NA1_5357537816,SILVER,SILVER II,False
NA1_5357549466,IRON,IRON IV,True
NA1_5357559462,EMERALD,EMERALD IV,True
NA1_5357570765,EMERALD,EMERALD III,False
NA1_5357573471,IRON,IRON III,True
NA1_5357590089,DIAMOND,DIAMOND II,False
NA1_5357590211,EMERALD,EMERALD IV,False
NA1_5357635895,IRON,IRON III,True
NA1_5357654092,EMERALD,EMERALD I,True
NA1_5357701346,DIAMOND,DIAMOND II,True
NA1_5357701449,IRON,IRON I,False
NA1_5357716522,SILVER,SILVER IV,True
NA1_5357721325,PLATINUM,PLATINUM III,True
NA1_5357738352,DIAMOND,DIAMOND I,True
NA1_5357758278,PLATINUM,PLATINUM III,False
NA1_5357774530,EMERALD,EMERALD IV,False
NA1_5357789625,PLATINUM,PLATINUM III,False
NA1_5357820965,PLATINUM,PLATINUM III,True
NA1_5357834645,PLATINUM,PLATINUM III,True
NA1_5357838235,SILVER,SILVER IV,False
NA1_5357839843,PLATINUM,PLATINUM IV,True
NA1_5357852590,PLATINUM,PLATINUM IV,True
NA1_5357855554,DIAMOND,DIAMOND II,True
NA1_5357858621,EMERALD,EMERALD IV,False
NA1_5357860543,PLATINUM,PLATINUM IV,True
NA1_5357870987,EMERALD,EMERALD IV,True
NA1_5357871840,PLATINUM,PLATINUM IV,True
NA1_5357874225,PLATINUM,PLATINUM IV,True
NA1_5357874700,IRON,IRON III,True
NA1_5357882802,IRON,IRON III,True
NA1_5357902447,SILVER,SILVER II,True
NA1_5357980189,BRONZE,BRONZE IV,True
NA1_5357980697,GOLD,GOLD IV,False
NA1_5358037154,EMERALD,EMERALD III,True
NA1_5358056385,EMERALD,EMERALD III,True
NA1_5358060020,SILVER,SILVER III,True
NA1_5358094639,EMERALD,EMERALD I,False
NA1_5358120888,BRONZE,BRONZE I,True
NA1_5358153990,IRON,IRON IV,True
NA1_5358184953,IRON,IRON III,False
NA1_5358188603,SILVER,SILVER II,False
NA1_5358194850,EMERALD,EMERALD I,True
NA1_5358213285,EMERALD,EMERALD IV,False
NA1_5358215838,SILVER,SILVER II,True
NA1_5358231203,IRON,IRON IV,False
NA1_5358236656,EMERALD,EMERALD IV,False
NA1_5358238602,EMERALD,EMERALD I,True
NA1_5358239989,SILVER,SILVER II,False
NA1_5358250632,EMERALD,EMERALD IV,False
NA1_5358278413,PLATINUM,PLATINUM IV,True
NA1_5358305660,EMERALD,EMERALD I,True
NA1_5358311068,SILVER,SILVER I,True
NA1_5358316110,PLATINUM,PLATINUM IV,True
NA1_5358326331,EMERALD,EMERALD I,True
NA1_5358332360,EMERALD,EMERALD IV,True
NA1_5358389591,EMERALD,EMERALD IV,True
NA1_5358389763,PLATINUM,PLATINUM IV,False
NA1_5358415844,IRON,IRON III,False
NA1_5358420018,GOLD,GOLD II,True
NA1_5358427318,EMERALD,EMERALD IV,False
NA1_5358435429,GOLD,GOLD IV,False
NA1_5358438356,GOLD,GOLD II,True
NA1_5358478218,IRON,IRON III,True
NA1_5358521584,SILVER,SILVER III,False
NA1_5358541380,SILVER,SILVER III,True
NA1_5358548639,SILVER,SILVER III,False
NA1_5358577354,SILVER,SILVER III,False
NA1_5358596327,SILVER,SILVER III,True
NA1_5358602296,PLATINUM,PLATINUM IV,True
NA1_5358616189,PLATINUM,PLATINUM IV,False
NA1_5358633311,SILVER,SILVER III,True
NA1_5358653184,DIAMOND,DIAMOND II,True
NA1_5358657594,DIAMOND,DIAMOND II,False
NA1_5358682960,PLATINUM,PLATINUM IV,False
NA1_5358719739,SILVER,SILVER I,True
NA1_5358726976,EMERALD,EMERALD III,True
NA1_5358745655,EMERALD,EMERALD III,True
NA1_5358765252,EMERALD,EMERALD III,True
NA1_5358784169,EMERALD,EMERALD III,False
NA1_5358788673,PLATINUM,PLATINUM IV,True
NA1_5358806813,BRONZE,BRONZE IV,True
NA1_5358816521,BRONZE,BRONZE I,True
NA1_5358836727,BRONZE,BRONZE IV,False
NA1_5358837836,EMERALD,EMERALD I,False
NA1_5358841640,BRONZE,BRONZE I,True
NA1_5358901157,EMERALD,EMERALD I,True
NA1_5358932891,BRONZE,BRONZE I,True
NA1_5358950391,DIAMOND,DIAMOND I,True
NA1_5358953787,EMERALD,EMERALD IV,True
NA1_5358961035,BRONZE,BRONZE I,True
NA1_5358963643,PLATINUM,PLATINUM II,True
NA1_5358980565,IRON,IRON III,False
NA1_5358998661,BRONZE,BRONZE I,True
NA1_5359033311,BRONZE,BRONZE I,False
NA1_5359042480,IRON,IRON III,True
NA1_5359046580,DIAMOND,DIAMOND I,True
NA1_5359071223,BRONZE,BRONZE I,False
NA1_5359074608,IRON,IRON III,True
NA1_5359080991,SILVER,SILVER III,False
NA1_5359092690,BRONZE,BRONZE I,False
NA1_5359120324,IRON,IRON IV,True
NA1_5359123091,SILVER,SILVER III,True
NA1_5359148614,IRON,IRON IV,False
NA1_5359155729,SILVER,SILVER III,True
NA1_5359156006,PLATINUM,PLATINUM III,True
NA1_5359179748,PLATINUM,PLATINUM III,True
NA1_5359183717,PLATINUM,PLATINUM III,True
NA1_5359184120,EMERALD,EMERALD I,True
NA1_5359188598,GOLD,GOLD IV,False
NA1_5359190432,IRON,IRON IV,True
NA1_5359196690,BRONZE,BRONZE I,False
